track_uri,track_name,artist_uri,album_uri,playlist_uri,duration_ms,preview_url,popularity,added_at,added_by,,date,time,added_at
6AvslIXIi9iaGvukefyVVK,Bottom Of The Deep Blue Sea,2HOMW1liAxI3URnEq95SMS,08iSi4GIyoDt2zSvNyru7M,5SeRMB2OnaHc37NcNA9mEs,231586,https://p.scdn.co/mp3-preview/043a1784f5e6f25fceebbdb1988075bcd9a269a0?cid=9950ac751e34487dbbe027c4fd7f8e99,61,2022-01-23 00:26:00,pikapi2323,,2022-01-23,00:26:00,2022-01-23
6Kxhgyn03iaX4zIGGe0YU3,Isolate,7gXb99Sf9nNmpNYeAgIQFG,0PTvzABaWDvafuJ8MZplha,5SeRMB2OnaHc37NcNA9mEs,142000,https://p.scdn.co/mp3-preview/cbaa5a257459bcf070638e6a8d9f7c293930f4c8?cid=9950ac751e34487dbbe027c4fd7f8e99,46,2022-01-23 00:27:00,pikapi2323,,2022-01-23,00:27:00,2022-01-23
2Yer0p7uB2lVBUAtANuuQp,Magic In The Hamptons (feat. Lil Yachty),5UjifI1TYefXWn9GdqDOHl,3p81zUBFZ3zdzxceXKeVSK,5SeRMB2OnaHc37NcNA9mEs,164640,https://p.scdn.co/mp3-preview/76293c68ae9504d51adc2ece5b763459f3e8ac45?cid=9950ac751e34487dbbe027c4fd7f8e99,77,2022-01-23 01:07:00,tonylu100,,2022-01-23,01:07:00,2022-01-23
15DeqWWQB4dcEWzJg15VrN,Our Song,06HL4z0CvFAxyc27GXpf02,7mzrIsaAjnXihW3InKjlC3,5SeRMB2OnaHc37NcNA9mEs,201106,https://p.scdn.co/mp3-preview/8f86fd6d6118887f0aee6ec5b0e27a6dafefb43f?cid=9950ac751e34487dbbe027c4fd7f8e99,70,2022-01-23 01:07:00,tonylu100,,2022-01-23,01:07:00,2022-01-23
50lgExvi3idU6XZ5HW44aY,Pac Man - Trap Remix,0eHf3EUXCAKFOh49PzmZzk,1wesFiXytOWsG4hrsFxvlF,5SeRMB2OnaHc37NcNA9mEs,328282,https://p.scdn.co/mp3-preview/178e6da47684deb4addb5c49ff733a1850f1c185?cid=9950ac751e34487dbbe027c4fd7f8e99,37,2022-01-23 01:59:00,pikapi2323,,2022-01-23,01:59:00,2022-01-23
0odP7kGN6Rw9NKgPxUkLpq,In the Woods,7lQ9Wd0iz1gX0zdA1B2bHB,3TV4lboUxIQZPb6wlcNDUT,5SeRMB2OnaHc37NcNA9mEs,257066,https://p.scdn.co/mp3-preview/80a73a5d7a5fc80e4bb8921c4c45c7e91a29ba61?cid=9950ac751e34487dbbe027c4fd7f8e99,31,2022-01-23 02:00:00,pikapi2323,,2022-01-23,02:00:00,2022-01-23
285Bh5EkbxGGE76ge8JDbH,Lucid Dream,6YVMFz59CuY7ngCxTxjpxE,3vyyDkvYWC36DwgZCYd3Wu,5SeRMB2OnaHc37NcNA9mEs,210560,https://p.scdn.co/mp3-preview/f036ed9f576852084a7fd2ac3b4efc252e9f37a0?cid=9950ac751e34487dbbe027c4fd7f8e99,70,2022-01-23 02:30:00,npdcezuyr9fkfemz2ciib7dff,,2022-01-23,02:30:00,2022-01-23
7uvW1F97LfVbOF6bzHs3nO,Deja Vu,5V1qsQHdXNm4ZEZHWvFnqQ,4Y5YucmQPgaCJOkmRshYGs,5SeRMB2OnaHc37NcNA9mEs,224760,https://p.scdn.co/mp3-preview/a73947b1e4913ee80fdd46903bb06128913c3f2f?cid=9950ac751e34487dbbe027c4fd7f8e99,61,2022-01-23 02:36:00,npdcezuyr9fkfemz2ciib7dff,,2022-01-23,02:36:00,2022-01-23
1gqkRc9WtOpnGIqxf2Hvzr,On Sight,5K4W6rqBFWDnAN6FQUkS6x,7D2NdGvBHIavgLhmcwhluK,5SeRMB2OnaHc37NcNA9mEs,156480,https://p.scdn.co/mp3-preview/f84aa963eeff7f7a2b14e2f4ebb8555d1359cb84?cid=9950ac751e34487dbbe027c4fd7f8e99,67,2022-01-23 04:32:00,blammmdsdf,,2022-01-23,04:32:00,2022-01-23
2lLG56qpLP3UbcLuzMvkWX,Stop Breathing,699OTQXzgjhIYAHMy9RyPD,2QRedhP5RmKJiJ1i8VgDGR,5SeRMB2OnaHc37NcNA9mEs,218943,https://p.scdn.co/mp3-preview/3f58f2094add6b10e07083e6bbac1c57f71a575f?cid=9950ac751e34487dbbe027c4fd7f8e99,76,2022-01-23 04:32:00,blammmdsdf,,2022-01-23,04:32:00,2022-01-23
61bwFjzXGG1x2aZsANdLyl,money machine,6PfSUFtkMVoDkx4MQkzOi3,2uhB1KivbFnlkARpbd0Cvu,5SeRMB2OnaHc37NcNA9mEs,114460,https://p.scdn.co/mp3-preview/c2daaf55e5a1726da4b2d191108c6089fb59a7d4?cid=9950ac751e34487dbbe027c4fd7f8e99,70,2022-01-23 04:35:00,blammmdsdf,,2022-01-23,04:35:00,2022-01-23
7EqpEBPOohgk7NnKvBGFWo,Wait for It,3cR4rhS2hBWqI7rJEBacvN,1kCHru7uhxBUdzkm4gzRQc,5SeRMB2OnaHc37NcNA9mEs,193749,https://p.scdn.co/mp3-preview/7b46a52071a265724ff829bfb16113199a61d57a?cid=9950ac751e34487dbbe027c4fd7f8e99,70,2022-01-23 18:38:00,9fxmyzqww2wviyjdqpiqu4xjb,,2022-01-23,18:38:00,2022-01-23
